num,data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,qtd,soma,media
1911, 03/01/20,.,.,3,.,.,6,7,.,9,10,.,.,.,.,.,16,17,18,.,20,.,.,23,.,.,10,129, 12.90
1912, 06/01/20,1,.,3,4,.,.,.,.,.,.,11,12,13,.,15,.,17,.,19,.,.,.,.,.,25,10,120, 12.00
1913, 08/01/20,1,.,3,4,.,.,.,.,.,.,.,.,13,.,15,.,17,18,.,.,21,22,23,.,.,10,137, 13.70
1914, 10/01/20,1,.,3,.,.,6,7,.,9,.,11,.,.,.,.,16,.,.,.,.,.,22,23,24,.,10,122, 12.20
1915, 13/01/20,1,.,3,.,5,6,7,.,9,.,.,.,.,14,.,.,.,18,.,.,.,.,23,24,.,10,110, 11.00
1916, 15/01/20,1,2,3,.,.,.,.,.,9,.,.,12,.,14,.,16,17,.,.,.,21,22,.,.,.,10,117, 11.70
1917, 17/01/20,.,.,.,.,5,6,7,8,9,.,11,12,.,.,.,16,.,18,.,.,.,22,.,.,.,10,114, 11.40
1918, 20/01/20,1,.,3,.,.,.,.,8,.,.,.,.,13,14,15,16,.,.,.,.,21,.,23,.,25,10,139, 13.90
1919, 22/01/20,.,.,.,4,.,.,7,8,.,.,.,12,13,14,.,16,17,18,.,.,.,.,.,.,25,10,134, 13.40
1920, 24/01/20,1,.,3,.,5,.,7,8,.,.,.,.,.,.,15,16,.,.,19,.,.,.,23,24,.,10,121, 12.10
1921, 27/01/20,1,.,.,.,.,.,.,.,.,.,11,12,.,14,.,.,17,.,19,20,.,22,23,.,25,10,164, 16.40
1922, 29/01/20,1,.,.,.,.,.,.,.,9,.,11,.,13,14,15,.,.,.,.,20,21,22,.,24,.,10,150, 15.00
1923, 31/01/20,.,2,3,.,.,6,.,8,9,.,.,.,13,.,15,16,.,18,.,.,21,.,.,.,.,10,111, 11.10
1924, 03/02/20,1,.,.,4,5,6,7,.,.,.,.,.,.,.,15,16,.,.,19,20,21,.,.,.,.,10,114, 11.40
1925, 05/02/20,.,.,.,.,.,.,.,8,.,10,11,12,.,.,15,.,17,.,19,.,.,22,.,24,25,10,163, 16.30
1926, 07/02/20,.,2,3,.,.,.,7,8,.,.,11,12,.,.,.,.,.,.,19,20,.,22,.,.,25,10,129, 12.90
1927, 10/02/20,.,.,3,.,.,6,7,.,9,.,.,12,.,14,.,16,.,.,19,20,.,.,.,.,25,10,131, 13.10
1928, 12/02/20,.,.,.,4,.,.,.,.,.,.,11,12,13,14,.,.,17,18,.,20,21,22,.,.,.,10,152, 15.20
1929, 14/02/20,.,.,.,.,5,6,.,.,.,.,.,12,.,14,.,16,17,18,.,.,21,.,23,24,.,10,156, 15.60
1930, 17/02/20,.,.,3,.,.,6,.,.,9,.,11,12,.,.,15,.,.,18,19,20,.,.,.,.,25,10,138, 13.80
1931, 19/02/20,1,2,.,.,.,.,.,8,.,.,.,.,13,.,15,.,17,.,.,20,21,.,.,24,25,10,146, 14.60
1932, 21/02/20,1,.,3,.,5,.,7,.,.,.,.,.,13,.,15,.,.,18,.,.,21,.,23,.,25,10,131, 13.10
1933, 26/02/20,.,2,3,4,5,6,.,8,.,.,.,.,.,14,15,.,17,18,.,.,.,.,.,.,.,10,92, 9.20
1934, 28/02/20,.,.,.,.,.,6,.,.,.,.,.,.,13,14,15,16,17,18,19,.,21,22,.,.,.,10,161, 16.10
1935, 02/03/20,.,2,.,4,.,.,.,.,9,.,11,.,13,14,.,.,.,.,19,20,21,.,.,.,25,10,138, 13.80
1936, 04/03/20,1,.,.,.,.,.,7,.,9,10,.,12,.,.,.,16,.,18,.,.,.,22,23,24,.,10,142, 14.20
1937, 06/03/20,1,2,.,.,.,.,7,8,.,.,.,.,13,14,.,16,.,18,.,20,.,.,.,.,25,10,124, 12.40
1938, 09/03/20,1,2,.,.,5,.,.,.,9,.,.,.,13,14,15,.,17,.,.,.,.,.,23,24,.,10,123, 12.30
1939, 11/03/20,1,.,.,.,5,.,.,8,.,.,.,.,.,14,15,16,17,18,.,.,21,.,.,.,25,10,140, 14.00
1940, 13/03/20,.,2,3,4,.,6,7,.,9,.,.,.,.,14,.,16,.,.,19,20,.,.,.,.,.,10,100, 10.00
1941, 16/03/20,.,2,.,.,.,6,7,.,9,.,11,.,.,.,15,.,.,18,19,.,21,.,23,.,.,10,131, 13.10
1942, 18/03/20,.,.,.,.,5,6,.,.,9,.,.,.,.,14,.,16,17,.,19,.,21,22,23,.,.,10,152, 15.20
1943, 20/03/20,1,.,.,4,5,.,7,8,.,.,11,12,.,.,.,.,.,.,.,.,21,.,.,24,25,10,118, 11.80
1944, 23/03/20,.,.,3,.,.,6,.,.,.,.,.,12,.,14,15,.,17,.,19,20,21,.,.,.,25,10,152, 15.20
1945, 25/03/20,1,2,.,.,.,6,7,.,.,.,11,.,13,14,.,16,.,18,.,.,21,.,.,.,.,10,109, 10.90
1946, 27/03/20,.,.,.,.,5,.,.,8,9,.,.,12,.,.,.,16,17,18,19,.,.,.,.,24,25,10,153, 15.30
1947, 30/03/20,1,.,3,4,.,.,7,8,.,10,.,12,.,.,.,.,17,.,.,20,21,.,.,.,.,10,103, 10.30
