num,data,2,4,6,8,10,12,14,16,18,20,22,24,qtd,soma,media
1911, 03/01/20,.,.,6,.,10,.,.,16,18,20,.,.,5,70, 14.00
1912, 06/01/20,.,4,.,.,.,12,.,.,.,.,.,.,2,16, 8.00
1913, 08/01/20,.,4,.,.,.,.,.,.,18,.,22,.,3,44, 14.67
1914, 10/01/20,.,.,6,.,.,.,.,16,.,.,22,24,4,68, 17.00
1915, 13/01/20,.,.,6,.,.,.,14,.,18,.,.,24,4,62, 15.50
1916, 15/01/20,2,.,.,.,.,12,14,16,.,.,22,.,5,66, 13.20
1917, 17/01/20,.,.,6,8,.,12,.,16,18,.,22,.,6,82, 13.67
1918, 20/01/20,.,.,.,8,.,.,14,16,.,.,.,.,3,38, 12.67
1919, 22/01/20,.,4,.,8,.,12,14,16,18,.,.,.,6,72, 12.00
1920, 24/01/20,.,.,.,8,.,.,.,16,.,.,.,24,3,48, 16.00
1921, 27/01/20,.,.,.,.,.,12,14,.,.,20,22,.,4,68, 17.00
1922, 29/01/20,.,.,.,.,.,.,14,.,.,20,22,24,4,80, 20.00
1923, 31/01/20,2,.,6,8,.,.,.,16,18,.,.,.,5,50, 10.00
1924, 03/02/20,.,4,6,.,.,.,.,16,.,20,.,.,4,46, 11.50
1925, 05/02/20,.,.,.,8,10,12,.,.,.,.,22,24,5,76, 15.20
1926, 07/02/20,2,.,.,8,.,12,.,.,.,20,22,.,5,64, 12.80
1927, 10/02/20,.,.,6,.,.,12,14,16,.,20,.,.,5,68, 13.60
1928, 12/02/20,.,4,.,.,.,12,14,.,18,20,22,.,6,90, 15.00
1929, 14/02/20,.,.,6,.,.,12,14,16,18,.,.,24,6,90, 15.00
1930, 17/02/20,.,.,6,.,.,12,.,.,18,20,.,.,4,56, 14.00
1931, 19/02/20,2,.,.,8,.,.,.,.,.,20,.,24,4,54, 13.50
1932, 21/02/20,.,.,.,.,.,.,.,.,18,.,.,.,1,18, 18.00
1933, 26/02/20,2,4,6,8,.,.,14,.,18,.,.,.,6,52, 8.67
1934, 28/02/20,.,.,6,.,.,.,14,16,18,.,22,.,5,76, 15.20
1935, 02/03/20,2,4,.,.,.,.,14,.,.,20,.,.,4,40, 10.00
1936, 04/03/20,.,.,.,.,10,12,.,16,18,.,22,24,6,102, 17.00
1937, 06/03/20,2,.,.,8,.,.,14,16,18,20,.,.,6,78, 13.00
1938, 09/03/20,2,.,.,.,.,.,14,.,.,.,.,24,3,40, 13.33
1939, 11/03/20,.,.,.,8,.,.,14,16,18,.,.,.,4,56, 14.00
1940, 13/03/20,2,4,6,.,.,.,14,16,.,20,.,.,6,62, 10.33
1941, 16/03/20,2,.,6,.,.,.,.,.,18,.,.,.,3,26, 8.67
1942, 18/03/20,.,.,6,.,.,.,14,16,.,.,22,.,4,58, 14.50
1943, 20/03/20,.,4,.,8,.,12,.,.,.,.,.,24,4,48, 12.00
1944, 23/03/20,.,.,6,.,.,12,14,.,.,20,.,.,4,52, 13.00
1945, 25/03/20,2,.,6,.,.,.,14,16,18,.,.,.,5,56, 11.20
1946, 27/03/20,.,.,.,8,.,12,.,16,18,.,.,24,5,78, 15.60
1947, 30/03/20,.,4,.,8,10,12,.,.,.,20,.,.,5,54, 10.80
1948, 01/04/20,2,4,6,8,10,.,.,.,18,.,.,.,6,48, 8.00
1949, 03/04/20,.,4,.,.,.,12,.,.,18,.,.,24,4,58, 14.50
1950, 06/04/20,.,.,.,.,.,.,14,.,.,.,22,24,3,60, 20.00
1951, 08/04/20,2,.,.,8,.,.,14,.,.,.,.,24,4,48, 12.00
1952, 11/04/20,2,4,6,8,.,12,.,.,.,.,.,.,5,32, 6.40
1953, 13/04/20,2,.,.,8,.,12,14,.,.,.,.,24,5,60, 12.00
1954, 15/04/20,.,.,.,.,.,12,14,.,.,20,.,.,3,46, 15.33
1955, 17/04/20,.,.,6,8,10,.,.,.,18,.,.,.,4,42, 10.50
