num,data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,qtd,soma,media
1911, 03/01/20,1,2,.,4,5,.,.,8,.,.,11,12,13,14,15,.,.,.,19,.,21,22,.,24,25,15,196, 13.07
1912, 06/01/20,.,2,.,.,5,6,7,8,9,10,.,.,.,14,.,16,.,18,.,20,21,22,23,24,.,15,205, 13.67
1913, 08/01/20,.,2,.,.,5,6,7,8,9,10,11,12,.,14,.,16,.,.,19,20,.,.,.,24,25,15,188, 12.53
1914, 10/01/20,.,2,.,4,5,.,.,8,.,10,.,12,13,14,15,.,17,18,19,20,21,.,.,.,25,15,203, 13.53
1915, 13/01/20,.,2,.,4,.,.,.,8,.,10,11,12,13,.,15,16,17,.,19,20,21,22,.,.,25,15,215, 14.33
1916, 15/01/20,.,.,.,4,5,6,7,8,.,10,11,.,13,.,15,.,.,18,19,20,.,.,23,24,25,15,208, 13.87
1917, 17/01/20,1,2,3,4,.,.,.,.,.,10,.,.,13,14,15,.,17,.,19,20,21,.,23,24,25,15,211, 14.07
1918, 20/01/20,.,2,.,4,5,6,7,.,9,10,11,12,.,.,.,.,17,18,19,20,.,22,.,24,.,15,186, 12.40
1919, 22/01/20,1,2,3,.,5,6,.,.,9,10,11,.,.,.,15,.,.,.,19,20,21,22,23,24,.,15,191, 12.73
1920, 24/01/20,.,2,.,4,.,6,.,.,9,10,11,12,13,14,.,.,17,18,.,20,21,22,.,.,25,15,204, 13.60
1921, 27/01/20,.,2,3,4,5,6,7,8,9,10,.,.,13,.,15,16,.,18,.,.,21,.,.,24,.,15,161, 10.73
1922, 29/01/20,.,2,3,4,5,6,7,8,.,10,.,12,.,.,.,16,17,18,19,.,.,.,23,.,25,15,175, 11.67
1923, 31/01/20,1,.,.,4,5,.,7,.,.,10,11,12,.,14,.,.,17,.,19,20,.,22,23,24,25,15,214, 14.27
1924, 03/02/20,.,2,3,.,.,.,.,8,9,10,11,12,13,14,.,.,17,18,.,.,.,22,23,24,25,15,211, 14.07
1925, 05/02/20,1,2,3,4,5,6,7,.,9,.,.,.,13,14,.,16,.,18,.,20,21,.,23,.,.,15,162, 10.80
1926, 07/02/20,1,.,.,4,5,6,.,.,9,10,.,.,13,14,15,16,17,18,.,.,21,.,23,24,.,15,196, 13.07
1927, 10/02/20,1,2,.,4,5,.,.,8,.,10,11,.,13,.,15,.,17,18,.,.,21,22,23,24,.,15,194, 12.93
1928, 12/02/20,1,2,3,.,5,6,7,8,9,10,.,.,.,.,15,16,.,.,19,.,.,.,23,24,25,15,173, 11.53
1929, 14/02/20,1,2,3,4,.,.,7,8,9,10,11,.,13,.,15,.,.,.,19,20,.,22,.,.,25,15,169, 11.27
1930, 17/02/20,1,2,.,4,5,.,7,8,.,10,.,.,13,14,.,16,17,.,.,.,21,22,23,24,.,15,187, 12.47
1931, 19/02/20,.,.,3,4,5,6,7,.,9,10,11,12,.,14,.,16,.,18,19,.,.,22,23,.,.,15,179, 11.93
1932, 21/02/20,.,2,.,4,.,6,.,8,9,10,11,12,.,14,.,16,17,.,19,20,.,22,.,24,.,15,194, 12.93
1933, 26/02/20,1,.,.,.,.,.,7,.,9,10,11,12,13,.,.,16,.,.,19,20,21,22,23,24,25,15,233, 15.53
1934, 28/02/20,1,2,3,4,5,.,7,8,9,10,11,12,.,.,.,.,.,.,.,20,.,.,23,24,25,15,164, 10.93
1935, 02/03/20,1,.,3,.,5,6,7,8,.,10,.,12,.,.,15,16,17,18,.,.,.,22,23,24,.,15,187, 12.47
1936, 04/03/20,.,2,3,4,5,6,.,8,.,.,11,.,13,14,15,.,17,.,19,20,21,.,.,.,25,15,183, 12.20
1937, 06/03/20,.,.,3,4,5,6,.,.,9,10,11,12,.,.,15,.,17,.,19,.,21,22,23,24,.,15,201, 13.40
1938, 09/03/20,.,.,3,4,.,6,7,8,.,10,11,12,.,.,.,16,.,18,19,20,21,22,.,.,25,15,202, 13.47
1939, 11/03/20,.,2,3,4,.,6,7,.,9,10,11,12,13,.,.,.,.,.,19,20,.,22,23,24,.,15,185, 12.33
1940, 13/03/20,1,.,.,.,5,.,.,8,.,10,11,12,13,.,15,.,17,18,.,.,21,22,23,24,25,15,225, 15.00
1941, 16/03/20,1,.,3,4,5,.,.,8,.,10,.,12,13,14,.,16,17,.,.,20,.,22,.,24,25,15,194, 12.93
1942, 18/03/20,1,2,3,4,.,.,7,8,.,10,11,12,13,.,15,.,.,18,.,20,.,.,.,24,25,15,173, 11.53
1943, 20/03/20,.,2,3,.,.,6,.,.,9,10,.,.,13,14,15,16,17,18,19,20,.,22,23,.,.,15,207, 13.80
1944, 23/03/20,1,2,.,4,5,.,7,8,9,10,11,.,13,.,.,16,.,18,.,.,.,22,23,24,.,15,173, 11.53
1945, 25/03/20,.,.,3,4,5,.,.,8,9,10,.,12,.,.,15,.,17,.,19,20,.,22,23,24,25,15,216, 14.40
1946, 27/03/20,1,2,3,4,.,6,7,.,.,10,11,.,13,14,15,.,.,.,.,20,21,22,23,.,.,15,172, 11.47
1947, 30/03/20,.,2,.,.,5,6,.,.,9,.,11,.,13,14,15,16,.,18,19,.,.,22,23,24,25,15,222, 14.80
1948, 01/04/20,1,.,3,.,.,.,7,.,9,.,11,12,13,14,.,16,17,.,19,20,21,22,.,24,.,15,209, 13.93
1949, 03/04/20,.,2,3,.,5,6,.,8,.,10,11,.,.,14,15,16,.,.,19,20,.,22,23,.,25,15,199, 13.27
1950, 06/04/20,.,2,3,4,.,6,.,8,9,10,11,12,.,.,.,16,.,18,.,20,21,.,23,.,25,15,188, 12.53
1951, 08/04/20,.,.,3,4,.,6,.,.,9,10,11,12,13,.,.,16,.,18,19,20,.,22,23,.,25,15,211, 14.07
1952, 11/04/20,.,.,3,.,5,.,7,.,9,10,11,.,13,14,.,16,17,18,.,20,21,22,.,24,.,15,210, 14.00
1953, 13/04/20,1,.,3,4,5,6,.,.,9,10,.,.,.,.,15,16,.,18,19,20,21,22,23,.,.,15,192, 12.80
