num,data,2,4,6,8,10,12,14,16,18,20,22,24,qtd,soma,media
1911, 03/01/20,2,4,.,8,.,12,14,.,.,.,22,24,7,86, 12.29
1912, 06/01/20,2,.,6,8,10,.,14,16,18,20,22,24,10,140, 14.00
1913, 08/01/20,2,.,6,8,10,12,14,16,.,20,.,24,9,112, 12.44
1914, 10/01/20,2,4,.,8,10,12,14,.,18,20,.,.,8,88, 11.00
1915, 13/01/20,2,4,.,8,10,12,.,16,.,20,22,.,8,94, 11.75
1916, 15/01/20,.,4,6,8,10,.,.,.,18,20,.,24,7,90, 12.86
1917, 17/01/20,2,4,.,.,10,.,14,.,.,20,.,24,6,74, 12.33
1918, 20/01/20,2,4,6,.,10,12,.,.,18,20,22,24,9,118, 13.11
1919, 22/01/20,2,.,6,.,10,.,.,.,.,20,22,24,6,84, 14.00
1920, 24/01/20,2,4,6,.,10,12,14,.,18,20,22,.,9,108, 12.00
1921, 27/01/20,2,4,6,8,10,.,.,16,18,.,.,24,8,88, 11.00
1922, 29/01/20,2,4,6,8,10,12,.,16,18,.,.,.,8,76, 9.50
1923, 31/01/20,.,4,.,.,10,12,14,.,.,20,22,24,7,106, 15.14
1924, 03/02/20,2,.,.,8,10,12,14,.,18,.,22,24,8,110, 13.75
1925, 05/02/20,2,4,6,.,.,.,14,16,18,20,.,.,7,80, 11.43
1926, 07/02/20,.,4,6,.,10,.,14,16,18,.,.,24,7,92, 13.14
1927, 10/02/20,2,4,.,8,10,.,.,.,18,.,22,24,7,88, 12.57
1928, 12/02/20,2,.,6,8,10,.,.,16,.,.,.,24,6,66, 11.00
1929, 14/02/20,2,4,.,8,10,.,.,.,.,20,22,.,6,66, 11.00
1930, 17/02/20,2,4,.,8,10,.,14,16,.,.,22,24,8,100, 12.50
1931, 19/02/20,.,4,6,.,10,12,14,16,18,.,22,.,8,102, 12.75
1932, 21/02/20,2,4,6,8,10,12,14,16,.,20,22,24,11,138, 12.55
1933, 26/02/20,.,.,.,.,10,12,.,16,.,20,22,24,6,104, 17.33
1934, 28/02/20,2,4,.,8,10,12,.,.,.,20,.,24,7,80, 11.43
1935, 02/03/20,.,.,6,8,10,12,.,16,18,.,22,24,8,116, 14.50
1936, 04/03/20,2,4,6,8,.,.,14,.,.,20,.,.,6,54, 9.00
1937, 06/03/20,.,4,6,.,10,12,.,.,.,.,22,24,6,78, 13.00
1938, 09/03/20,.,4,6,8,10,12,.,16,18,20,22,.,9,116, 12.89
1939, 11/03/20,2,4,6,.,10,12,.,.,.,20,22,24,8,100, 12.50
1940, 13/03/20,.,.,.,8,10,12,.,.,18,.,22,24,6,94, 15.67
1941, 16/03/20,.,4,.,8,10,12,14,16,.,20,22,24,9,130, 14.44
1942, 18/03/20,2,4,.,8,10,12,.,.,18,20,.,24,8,98, 12.25
1943, 20/03/20,2,.,6,.,10,.,14,16,18,20,22,.,8,108, 13.50
1944, 23/03/20,2,4,.,8,10,.,.,16,18,.,22,24,8,104, 13.00
1945, 25/03/20,.,4,.,8,10,12,.,.,.,20,22,24,7,100, 14.29
1946, 27/03/20,2,4,6,.,10,.,14,.,.,20,22,.,7,78, 11.14
1947, 30/03/20,2,.,6,.,.,.,14,16,18,.,22,24,7,102, 14.57
1948, 01/04/20,.,.,.,.,.,12,14,16,.,20,22,24,6,108, 18.00
1949, 03/04/20,2,.,6,8,10,.,14,16,.,20,22,.,8,98, 12.25
1950, 06/04/20,2,4,6,8,10,12,.,16,18,20,.,.,9,96, 10.67
1951, 08/04/20,.,4,6,.,10,12,.,16,18,20,22,.,8,108, 13.50
1952, 11/04/20,.,.,.,.,10,.,14,16,18,20,22,24,7,124, 17.71
1953, 13/04/20,.,4,6,.,10,.,.,16,18,20,22,.,7,96, 13.71
1954, 15/04/20,2,4,6,8,10,.,.,16,18,.,22,24,9,110, 12.22
1955, 17/04/20,2,4,.,.,.,12,14,16,.,20,22,24,8,114, 14.25
