num,data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,qtd,soma,media
1, 29/09/03,1,.,.,4,.,.,7,8,.,.,.,12,.,.,15,.,17,.,19,.,21,22,.,.,.,10,126, 12.60
2, 06/10/03,.,2,3,.,.,.,.,8,.,10,.,.,.,14,.,.,17,18,.,.,21,22,.,.,25,10,140, 14.00
3, 13/10/03,.,2,3,.,5,.,.,.,.,.,.,.,13,.,15,.,.,18,19,.,21,22,.,.,25,10,143, 14.30
4, 20/10/03,.,.,3,.,.,6,7,.,9,.,11,.,.,14,15,.,.,.,.,20,21,22,.,.,.,10,128, 12.80
5, 27/10/03,.,.,3,.,5,6,7,.,.,10,.,.,.,14,.,.,17,18,.,.,21,22,.,.,.,10,123, 12.30
6, 03/11/03,.,.,3,.,.,.,.,8,9,.,11,.,13,14,.,.,.,18,.,20,.,22,.,24,.,10,142, 14.20
7, 10/11/03,.,2,3,.,5,6,.,.,9,.,11,.,13,.,.,.,17,.,.,20,.,.,.,24,.,10,110, 11.00
8, 17/11/03,.,2,3,4,.,.,7,.,.,.,11,12,.,14,.,.,.,.,.,.,21,.,23,24,.,10,121, 12.10
9, 24/11/03,1,2,.,.,.,6,7,8,.,.,.,12,.,14,.,.,.,18,.,.,.,22,23,.,.,10,113, 11.30
10, 01/12/03,1,.,.,.,.,.,7,.,.,.,.,.,13,.,15,16,17,18,.,.,21,22,.,.,25,10,155, 15.50
11, 08/12/03,1,.,3,4,5,.,.,.,.,.,.,.,13,14,15,.,17,18,.,.,21,.,.,.,.,10,111, 11.10
12, 15/12/03,.,.,3,.,.,6,.,.,.,.,.,.,13,.,15,.,.,18,19,20,21,22,23,.,.,10,160, 16.00
13, 22/12/03,1,2,.,4,.,.,.,.,.,.,.,12,.,.,.,.,.,18,.,20,21,22,.,24,25,10,149, 14.90
14, 29/12/03,.,.,3,4,.,.,.,8,.,10,11,12,.,.,.,16,17,.,.,.,.,22,.,24,.,10,127, 12.70
15, 05/01/04,.,.,3,.,5,.,7,.,9,.,11,.,13,14,.,.,17,.,.,20,.,22,.,.,.,10,121, 12.10
