num,data,1,3,5,7,9,11,13,15,17,19,21,23,25,qtd,soma,media
1, 29/09/03,1,.,.,7,.,.,.,15,17,19,21,.,.,6,80, 13.33
2, 06/10/03,.,3,.,.,.,.,.,.,17,.,21,.,25,4,66, 16.50
3, 13/10/03,.,3,5,.,.,.,13,15,.,19,21,.,25,7,101, 14.43
4, 20/10/03,.,3,.,7,9,11,.,15,.,.,21,.,.,6,66, 11.00
5, 27/10/03,.,3,5,7,.,.,.,.,17,.,21,.,.,5,53, 10.60
6, 03/11/03,.,3,.,.,9,11,13,.,.,.,.,.,.,4,36, 9.00
7, 10/11/03,.,3,5,.,9,11,13,.,17,.,.,.,.,6,58, 9.67
8, 17/11/03,.,3,.,7,.,11,.,.,.,.,21,23,.,5,65, 13.00
9, 24/11/03,1,.,.,7,.,.,.,.,.,.,.,23,.,3,31, 10.33
10, 01/12/03,1,.,.,7,.,.,13,15,17,.,21,.,25,7,99, 14.14
11, 08/12/03,1,3,5,.,.,.,13,15,17,.,21,.,.,7,75, 10.71
12, 15/12/03,.,3,.,.,.,.,13,15,.,19,21,23,.,6,94, 15.67
13, 22/12/03,1,.,.,.,.,.,.,.,.,.,21,.,25,3,47, 15.67
14, 29/12/03,.,3,.,.,.,11,.,.,17,.,.,.,.,3,31, 10.33
15, 05/01/04,.,3,5,7,9,11,13,.,17,.,.,.,.,7,65, 9.29
16, 12/01/04,1,3,.,.,9,11,.,.,.,.,.,.,.,4,24, 6.00
17, 19/01/04,.,.,.,.,.,11,.,15,.,.,.,23,25,4,74, 18.50
18, 26/01/04,1,3,5,.,9,.,13,.,.,.,21,.,25,7,77, 11.00
19, 02/02/04,1,3,.,.,9,.,.,.,.,19,21,.,25,6,78, 13.00
20, 09/02/04,1,.,5,.,.,11,13,15,.,.,21,.,25,7,91, 13.00
21, 16/02/04,.,3,.,7,9,.,13,15,17,.,21,.,.,7,85, 12.14
22, 25/02/04,.,.,.,.,.,11,.,.,17,19,21,23,.,5,91, 18.20
23, 01/03/04,.,.,.,7,9,.,13,15,.,.,21,23,25,7,113, 16.14
24, 08/03/04,.,.,.,.,9,.,13,15,.,.,.,.,.,3,37, 12.33
25, 15/03/04,.,.,.,.,.,11,.,15,17,19,21,.,25,6,108, 18.00
26, 22/03/04,1,3,.,.,.,.,.,15,.,.,.,.,25,4,44, 11.00
27, 29/03/04,1,.,5,7,9,.,.,.,17,19,.,23,.,7,81, 11.57
28, 05/04/04,.,.,5,.,.,.,.,15,.,.,.,23,25,4,68, 17.00
29, 12/04/04,.,3,.,7,.,11,.,15,.,.,.,23,25,6,84, 14.00
30, 19/04/04,.,.,5,.,9,.,13,15,.,.,.,.,25,5,67, 13.40
31, 26/04/04,.,.,5,7,.,11,.,.,.,.,.,23,.,4,46, 11.50
32, 03/05/04,.,3,5,.,.,.,13,.,.,19,21,.,25,6,86, 14.33
33, 10/05/04,.,3,.,.,9,.,13,15,17,.,.,.,25,6,82, 13.67
34, 17/05/04,.,3,5,.,.,.,13,.,17,.,.,.,25,5,63, 12.60
35, 24/05/04,.,3,.,7,9,.,.,15,.,.,.,.,.,4,34, 8.50
36, 31/05/04,.,3,.,.,9,.,13,15,.,.,.,.,25,5,65, 13.00
37, 07/06/04,.,.,.,7,.,.,.,.,17,19,.,.,25,4,68, 17.00
38, 14/06/04,.,.,5,.,.,11,.,.,17,19,21,23,.,6,96, 16.00
39, 21/06/04,1,3,5,.,.,.,.,.,.,.,.,.,25,4,34, 8.50
40, 28/06/04,.,3,.,.,9,11,.,15,.,19,.,23,25,7,105, 15.00
41, 05/07/04,1,.,5,7,.,11,.,.,.,.,.,.,.,4,24, 6.00
42, 12/07/04,.,.,.,7,9,.,13,.,.,19,.,23,.,5,71, 14.20
43, 19/07/04,.,.,5,.,.,11,13,15,.,.,21,.,25,6,90, 15.00
44, 26/07/04,1,.,.,7,9,.,.,15,17,.,.,.,.,5,49, 9.80
45, 02/08/04,.,.,.,.,.,11,13,15,.,.,.,.,.,3,39, 13.00
46, 09/08/04,.,3,.,7,9,.,13,15,17,.,.,.,.,6,64, 10.67
47, 16/08/04,.,.,.,7,9,.,.,.,17,19,21,23,.,6,96, 16.00
48, 23/08/04,1,3,.,.,9,.,.,.,.,.,.,.,25,4,38, 9.50
