num,data,2,4,6,8,10,12,14,16,18,20,22,24,qtd,soma,media
1, 29/09/03,.,4,.,8,.,12,.,.,.,.,22,.,4,46, 11.50
2, 06/10/03,2,.,.,8,10,.,14,.,18,.,22,.,6,74, 12.33
3, 13/10/03,2,.,.,.,.,.,.,.,18,.,22,.,3,42, 14.00
4, 20/10/03,.,.,6,.,.,.,14,.,.,20,22,.,4,62, 15.50
5, 27/10/03,.,.,6,.,10,.,14,.,18,.,22,.,5,70, 14.00
6, 03/11/03,.,.,.,8,.,.,14,.,18,20,22,24,6,106, 17.67
7, 10/11/03,2,.,6,.,.,.,.,.,.,20,.,24,4,52, 13.00
8, 17/11/03,2,4,.,.,.,12,14,.,.,.,.,24,5,56, 11.20
9, 24/11/03,2,.,6,8,.,12,14,.,18,.,22,.,7,82, 11.71
10, 01/12/03,.,.,.,.,.,.,.,16,18,.,22,.,3,56, 18.67
11, 08/12/03,.,4,.,.,.,.,14,.,18,.,.,.,3,36, 12.00
12, 15/12/03,.,.,6,.,.,.,.,.,18,20,22,.,4,66, 16.50
13, 22/12/03,2,4,.,.,.,12,.,.,18,20,22,24,7,102, 14.57
14, 29/12/03,.,4,.,8,10,12,.,16,.,.,22,24,7,96, 13.71
15, 05/01/04,.,.,.,.,.,.,14,.,.,20,22,.,3,56, 18.67
16, 12/01/04,.,4,.,.,.,.,14,16,18,20,22,.,6,94, 15.67
17, 19/01/04,.,4,.,8,10,12,.,.,.,.,22,24,6,80, 13.33
18, 26/01/04,.,4,.,.,.,12,.,16,.,.,.,.,3,32, 10.67
19, 02/02/04,.,4,.,.,.,12,.,.,18,.,22,.,4,56, 14.00
20, 09/02/04,2,.,.,.,.,12,.,.,.,.,22,.,3,36, 12.00
21, 16/02/04,.,.,6,.,10,12,.,.,.,.,.,.,3,28, 9.33
22, 25/02/04,.,.,.,8,.,.,.,16,18,20,.,24,5,86, 17.20
23, 01/03/04,2,.,.,.,.,.,.,.,.,.,22,24,3,48, 16.00
24, 08/03/04,.,4,6,8,.,12,.,16,18,.,22,.,7,86, 12.29
25, 15/03/04,.,.,.,8,10,12,.,.,18,.,.,.,4,48, 12.00
26, 22/03/04,2,4,6,.,.,12,.,.,18,.,.,24,6,66, 11.00
27, 29/03/04,2,4,.,.,.,.,.,16,.,.,.,.,3,22, 7.33
28, 05/04/04,2,4,6,8,.,.,.,.,.,.,22,24,6,66, 11.00
29, 12/04/04,2,.,.,.,10,12,.,.,18,.,.,.,4,42, 10.50
30, 19/04/04,.,.,.,.,10,12,.,16,18,.,.,24,5,80, 16.00
31, 26/04/04,.,.,6,8,10,12,.,16,18,.,.,.,6,70, 11.67
32, 03/05/04,.,.,.,8,.,12,.,.,18,.,.,24,4,62, 15.50
33, 10/05/04,.,4,6,.,.,.,.,.,18,.,22,.,4,50, 12.50
34, 17/05/04,.,.,6,.,.,12,14,.,.,.,22,24,5,78, 15.60
35, 24/05/04,2,.,.,8,10,.,.,.,18,20,.,24,6,82, 13.67
36, 31/05/04,2,.,6,.,.,12,.,16,18,.,.,.,5,54, 10.80
37, 07/06/04,2,.,6,.,.,12,14,16,18,.,.,.,6,68, 11.33
38, 14/06/04,.,4,.,.,.,12,.,.,18,20,.,.,4,54, 13.50
39, 21/06/04,.,4,6,.,10,12,.,16,.,20,.,.,6,68, 11.33
40, 28/06/04,.,4,6,.,.,.,.,.,18,.,.,.,3,28, 9.33
41, 05/07/04,.,.,6,8,10,.,14,.,.,.,22,24,6,84, 14.00
42, 12/07/04,2,.,.,.,10,.,.,16,18,20,.,.,5,66, 13.20
43, 19/07/04,2,4,.,.,.,12,.,16,.,.,.,.,4,34, 8.50
44, 26/07/04,2,.,.,8,.,.,.,16,.,20,22,.,5,68, 13.60
45, 02/08/04,.,4,6,8,10,12,.,.,.,20,22,.,7,82, 11.71
46, 09/08/04,.,.,.,.,.,12,.,16,.,20,22,.,4,70, 17.50
