num,data,1,3,5,7,9,11,13,15,17,19,21,23,25,qtd,soma,media
1, 29/09/03,.,3,5,.,9,11,13,.,.,.,.,23,25,7,89, 12.71
2, 06/10/03,1,.,5,7,9,11,13,15,.,19,.,23,.,9,103, 11.44
3, 13/10/03,1,.,.,7,9,11,.,.,17,.,.,23,.,6,68, 11.33
4, 20/10/03,1,.,5,.,.,.,13,.,17,19,.,23,25,7,103, 14.71
5, 27/10/03,1,.,.,.,9,11,13,15,.,19,.,23,25,8,116, 14.50
6, 03/11/03,1,.,5,7,.,.,.,15,17,19,21,23,25,9,133, 14.78
7, 10/11/03,1,.,.,7,.,.,.,15,.,19,21,23,25,7,111, 15.86
8, 17/11/03,1,.,5,.,9,.,13,15,17,19,.,.,25,8,104, 13.00
9, 24/11/03,.,3,5,.,9,11,13,15,17,19,21,.,25,10,138, 13.80
10, 01/12/03,.,3,5,.,9,11,.,.,.,19,.,23,.,6,70, 11.67
11, 08/12/03,.,.,.,7,9,11,.,.,.,19,.,23,25,6,94, 15.67
12, 15/12/03,1,.,5,7,9,11,.,.,17,.,.,.,25,7,75, 10.71
13, 22/12/03,.,3,5,7,9,11,13,15,17,19,.,23,.,10,122, 12.20
14, 29/12/03,1,.,5,7,9,.,13,15,.,19,21,23,25,10,138, 13.80
15, 05/01/04,1,.,.,.,.,.,.,15,.,19,21,23,25,6,104, 17.33
16, 12/01/04,.,.,5,7,.,.,13,15,17,19,21,23,25,9,145, 16.11
17, 19/01/04,1,3,5,7,9,.,13,.,17,19,21,.,.,9,95, 10.56
18, 26/01/04,.,.,.,7,.,11,.,15,17,19,.,23,.,6,92, 15.33
19, 02/02/04,.,.,5,7,.,11,13,15,17,.,.,23,.,7,91, 13.00
20, 09/02/04,.,3,.,7,9,.,.,.,17,19,.,23,.,6,78, 13.00
21, 16/02/04,1,.,5,.,.,11,.,.,.,19,.,23,25,6,84, 14.00
22, 25/02/04,1,3,5,7,9,.,13,15,.,.,.,.,25,8,78, 9.75
23, 01/03/04,1,3,5,.,.,11,.,.,17,19,.,.,.,6,56, 9.33
24, 08/03/04,1,3,5,7,.,11,.,.,17,19,21,23,25,10,132, 13.20
25, 15/03/04,1,3,5,7,9,.,13,.,.,.,.,23,.,7,61, 8.71
26, 22/03/04,.,.,5,7,9,11,13,.,17,19,21,23,.,9,125, 13.89
27, 29/03/04,.,3,.,.,.,11,13,15,.,.,21,.,25,6,88, 14.67
28, 05/04/04,1,3,.,7,9,11,13,.,17,19,21,.,.,9,101, 11.22
29, 12/04/04,1,.,5,.,9,.,13,.,17,19,21,.,.,7,85, 12.14
30, 19/04/04,1,3,.,7,.,11,.,.,17,19,21,23,.,8,102, 12.75
31, 26/04/04,1,3,.,.,9,.,13,15,17,19,21,.,25,9,123, 13.67
32, 03/05/04,1,.,.,7,9,11,.,15,17,.,.,23,.,7,83, 11.86
33, 10/05/04,1,.,5,7,.,11,.,.,.,19,21,23,.,7,87, 12.43
34, 17/05/04,1,.,.,7,9,11,.,15,.,19,21,23,.,8,106, 13.25
35, 24/05/04,1,.,5,.,.,11,13,.,17,19,21,23,25,9,135, 15.00
36, 31/05/04,1,.,5,7,.,11,.,.,17,19,21,23,.,8,104, 13.00
37, 07/06/04,1,3,5,.,9,11,13,15,.,.,21,23,.,9,101, 11.22
38, 14/06/04,1,3,.,7,9,.,13,15,.,.,.,.,25,7,73, 10.43
39, 21/06/04,.,.,.,7,9,11,13,15,17,19,21,23,.,9,135, 15.00
40, 28/06/04,1,.,5,7,.,.,13,.,17,.,21,.,.,6,64, 10.67
41, 05/07/04,.,3,.,.,9,.,13,15,17,19,21,23,25,9,145, 16.11
42, 12/07/04,1,3,5,.,.,11,.,15,17,.,21,.,25,8,98, 12.25
43, 19/07/04,1,3,.,7,9,.,.,.,17,19,.,23,.,7,79, 11.29
44, 26/07/04,.,3,5,.,.,11,13,.,.,19,21,23,25,8,120, 15.00
45, 02/08/04,1,3,5,7,9,.,.,.,17,19,21,23,25,10,130, 13.00
46, 09/08/04,1,.,5,.,.,11,.,.,.,19,21,23,25,7,105, 15.00
47, 16/08/04,1,3,5,.,.,11,13,15,.,.,.,.,25,7,73, 10.43
48, 23/08/04,.,.,5,7,.,11,13,15,17,19,21,23,.,9,131, 14.56
49, 30/08/04,.,.,5,.,.,11,13,15,.,19,21,23,.,7,107, 15.29
50, 06/09/04,1,3,.,7,9,11,13,.,.,19,21,23,25,10,132, 13.20
51, 13/09/04,1,3,5,7,.,11,13,.,17,.,21,23,.,9,101, 11.22
52, 20/09/04,1,.,.,.,9,11,13,15,.,.,21,23,25,8,118, 14.75
53, 27/09/04,1,3,.,7,9,11,.,.,17,19,.,23,.,8,90, 11.25
54, 04/10/04,.,.,5,7,9,.,.,.,.,.,21,.,.,4,42, 10.50
55, 11/10/04,.,3,5,7,9,.,13,15,.,19,.,.,25,8,96, 12.00
56, 18/10/04,1,.,5,.,9,.,13,15,17,19,.,23,.,8,102, 12.75
57, 25/10/04,1,3,.,7,.,11,.,.,17,19,21,.,25,8,104, 13.00
58, 01/11/04,.,3,5,.,.,11,13,15,17,19,.,.,.,7,83, 11.86
59, 08/11/04,1,3,5,7,.,11,13,15,.,19,.,23,25,10,122, 12.20
60, 16/11/04,1,3,5,.,.,11,.,.,17,19,.,23,25,8,104, 13.00
61, 22/11/04,1,.,5,.,9,11,13,15,.,19,.,23,25,9,121, 13.44
62, 29/11/04,1,3,.,7,9,11,13,15,17,.,.,.,25,9,101, 11.22
63, 06/12/04,.,.,.,.,9,11,13,.,17,19,21,.,25,7,115, 16.43
64, 13/12/04,1,3,.,7,9,.,13,.,17,.,.,23,25,8,98, 12.25
65, 20/12/04,1,.,.,7,.,.,.,15,17,19,21,23,25,8,128, 16.00
66, 27/12/04,1,.,.,.,.,11,.,15,17,.,21,23,.,6,88, 14.67
67, 03/01/05,.,.,5,7,9,11,13,15,.,.,21,23,.,8,104, 13.00
68, 10/01/05,1,3,5,7,9,.,.,.,17,.,.,23,25,8,90, 11.25
69, 17/01/05,1,.,.,7,9,11,.,15,17,19,21,23,.,9,123, 13.67
70, 24/01/05,1,3,5,.,9,.,.,15,.,19,.,.,25,7,77, 11.00
71, 31/01/05,1,3,5,.,9,11,13,15,.,.,21,23,.,9,101, 11.22
72, 09/02/05,1,.,5,7,.,11,13,15,17,.,.,23,25,9,117, 13.00
73, 14/02/05,1,.,5,7,.,11,13,15,17,19,21,.,25,10,134, 13.40
74, 21/02/05,1,3,5,.,.,11,13,15,.,.,.,23,25,8,96, 12.00
75, 28/02/05,1,3,5,7,.,11,13,15,17,.,.,.,25,9,97, 10.78
76, 07/03/05,1,3,5,.,9,.,13,15,17,19,21,23,25,11,151, 13.73
77, 14/03/05,.,3,.,.,9,11,.,.,17,.,21,.,25,6,86, 14.33
78, 21/03/05,1,3,5,7,.,.,13,15,17,.,.,23,.,8,84, 10.50
79, 28/03/05,1,3,5,.,9,.,.,15,17,.,.,23,25,8,98, 12.25
80, 04/04/05,1,3,5,7,9,.,.,15,17,.,.,.,25,8,82, 10.25
81, 11/04/05,1,3,5,7,.,11,13,15,17,19,21,.,.,10,112, 11.20
82, 18/04/05,1,.,5,.,9,.,13,15,17,19,.,23,.,8,102, 12.75
83, 25/04/05,1,3,5,.,.,11,13,.,.,.,.,23,25,7,81, 11.57
84, 02/05/05,1,.,.,.,.,.,.,15,17,19,.,23,25,6,100, 16.67
85, 09/05/05,1,.,5,7,9,11,13,15,.,.,21,23,.,9,105, 11.67
86, 16/05/05,.,.,5,.,9,.,13,.,17,19,.,23,25,7,111, 15.86
87, 23/05/05,1,3,5,.,9,11,13,15,.,.,.,.,25,8,82, 10.25
88, 30/05/05,1,.,5,.,9,11,.,.,17,19,.,.,25,7,87, 12.43
89, 06/06/05,1,.,.,.,.,11,13,15,17,19,21,23,25,9,145, 16.11
90, 13/06/05,1,3,.,.,.,11,.,15,17,.,21,23,25,8,116, 14.50
91, 20/06/05,1,.,.,.,9,11,13,15,17,.,.,23,25,8,114, 14.25
92, 27/06/05,1,.,.,.,.,.,13,15,17,19,21,.,.,6,86, 14.33
93, 04/07/05,.,.,5,7,9,.,13,.,17,19,21,23,.,8,114, 14.25
94, 11/07/05,.,.,.,.,9,11,13,15,17,.,21,23,.,7,109, 15.57
95, 18/07/05,1,3,5,.,.,11,.,15,17,19,.,.,.,7,71, 10.14
96, 25/07/05,.,3,.,.,9,.,.,.,17,19,21,23,.,6,92, 15.33
97, 02/08/05,.,3,.,.,.,.,13,15,17,19,.,23,25,7,115, 16.43
98, 08/08/05,1,.,5,.,.,11,.,15,17,.,.,23,25,7,97, 13.86
99, 15/08/05,1,3,.,7,.,11,13,.,17,.,21,.,25,8,98, 12.25
100, 22/08/05,1,3,.,.,9,11,13,.,17,.,.,23,25,8,102, 12.75
101, 29/08/05,1,3,.,7,9,.,13,.,17,19,21,23,.,9,113, 12.56
102, 05/09/05,1,3,.,7,9,11,.,.,.,19,21,23,25,9,119, 13.22
103, 12/09/05,1,3,5,7,.,11,.,.,17,.,.,23,25,8,92, 11.50
104, 19/09/05,.,.,5,7,.,11,13,15,.,19,21,.,25,8,116, 14.50
105, 26/09/05,.,.,.,7,9,11,13,15,17,19,21,.,25,9,137, 15.22
106, 03/10/05,1,3,5,.,.,.,13,15,17,.,.,23,25,8,102, 12.75
107, 10/10/05,1,3,.,7,9,11,.,15,17,.,21,.,25,9,109, 12.11
108, 17/10/05,1,.,.,7,9,11,.,15,.,.,.,23,25,7,91, 13.00
109, 24/10/05,1,3,5,7,9,11,13,.,.,.,21,23,25,10,118, 11.80
110, 31/10/05,1,3,5,.,.,.,13,.,17,19,21,23,25,9,127, 14.11
111, 07/11/05,1,.,5,.,.,11,13,15,17,19,21,.,25,9,127, 14.11
112, 14/11/05,1,3,.,.,.,11,.,15,17,19,21,23,.,8,110, 13.75
113, 21/11/05,1,.,5,.,.,11,13,.,.,19,21,.,25,7,95, 13.57
114, 28/11/05,1,3,.,7,9,11,.,.,.,.,21,.,25,7,77, 11.00
115, 05/12/05,1,.,5,7,9,11,13,.,17,.,21,.,25,9,109, 12.11
116, 12/12/05,1,.,.,.,9,11,13,.,.,19,21,23,25,8,122, 15.25
117, 19/12/05,.,.,5,7,9,11,13,15,17,.,.,23,25,9,125, 13.89
118, 27/12/05,.,.,5,.,.,.,13,15,.,19,21,23,.,6,96, 16.00
119, 02/01/06,1,.,.,.,9,11,.,15,17,.,21,23,.,7,97, 13.86
120, 09/01/06,1,3,5,7,.,11,13,15,.,19,21,.,.,9,95, 10.56
121, 16/01/06,1,.,5,7,9,11,.,.,17,.,.,23,25,8,98, 12.25
122, 23/01/06,1,.,5,.,9,.,13,15,17,.,.,23,25,8,108, 13.50
123, 30/01/06,.,.,5,7,.,11,13,.,17,19,21,23,.,8,116, 14.50
124, 06/02/06,.,3,.,7,9,.,.,15,.,19,21,.,25,7,99, 14.14
125, 13/02/06,.,3,.,7,9,11,.,15,.,.,21,.,25,7,91, 13.00
126, 20/02/06,1,3,.,7,.,.,13,.,.,.,21,.,25,6,70, 11.67
127, 01/03/06,1,3,5,7,.,11,13,.,.,19,.,23,25,9,107, 11.89
128, 06/03/06,.,3,.,.,.,11,13,15,17,19,21,23,25,9,147, 16.33
129, 13/03/06,.,.,5,7,9,11,13,15,.,19,21,23,25,10,148, 14.80
130, 20/03/06,.,3,5,.,9,.,13,15,17,19,.,23,25,9,129, 14.33
131, 27/03/06,.,.,5,7,.,11,13,15,.,19,.,23,25,8,118, 14.75
132, 03/04/06,1,3,5,7,9,11,.,15,17,.,.,23,25,10,116, 11.60
133, 10/04/06,1,3,5,.,9,11,13,15,.,19,21,23,.,10,120, 12.00
134, 17/04/06,1,3,5,7,.,11,13,.,17,19,.,.,25,9,101, 11.22
135, 24/04/06,1,.,5,7,.,.,13,15,.,19,21,.,25,8,106, 13.25
136, 02/05/06,1,3,5,.,9,.,13,15,17,.,21,23,.,9,107, 11.89
137, 08/05/06,.,.,.,.,9,11,13,.,17,19,21,.,25,7,115, 16.43
138, 15/05/06,.,3,5,7,.,11,13,15,17,.,21,.,25,9,117, 13.00
139, 22/05/06,1,.,.,7,9,.,.,15,17,19,21,23,.,8,112, 14.00
140, 29/05/06,1,3,.,.,9,.,13,15,.,19,.,.,25,7,85, 12.14
141, 05/06/06,1,3,.,7,9,.,13,.,17,19,.,.,25,8,94, 11.75
142, 12/06/06,1,.,5,7,9,.,.,15,17,19,.,23,.,8,96, 12.00
143, 19/06/06,1,.,.,.,9,11,13,15,17,19,21,23,25,10,154, 15.40
144, 26/06/06,1,.,.,7,9,11,.,.,17,19,21,.,25,8,110, 13.75
145, 03/07/06,1,3,.,.,9,11,13,15,17,.,.,.,25,8,94, 11.75
146, 10/07/06,1,.,5,.,.,11,13,.,17,.,.,23,25,7,95, 13.57
147, 17/07/06,1,.,5,.,.,11,13,.,.,19,21,23,25,8,118, 14.75
148, 24/07/06,1,.,5,.,9,.,13,.,17,.,21,.,25,7,91, 13.00
149, 01/08/06,.,.,5,7,9,.,13,15,17,19,.,23,25,9,133, 14.78
150, 07/08/06,1,3,5,7,9,11,.,.,.,19,21,23,25,10,124, 12.40
151, 14/08/06,.,3,5,7,9,11,13,.,.,.,.,23,.,7,71, 10.14
152, 21/08/06,.,3,5,7,.,.,13,15,17,19,.,23,25,9,127, 14.11
153, 28/08/06,1,.,5,.,.,11,13,.,17,.,21,23,25,8,116, 14.50
154, 04/09/06,1,3,5,.,9,11,13,15,.,.,.,23,.,8,80, 10.00
155, 11/09/06,.,.,5,.,.,11,.,15,.,19,21,.,.,5,71, 14.20
156, 18/09/06,1,3,.,.,9,11,13,15,.,19,.,23,.,8,94, 11.75
157, 25/09/06,1,.,.,7,9,.,.,.,.,19,21,.,25,6,82, 13.67
158, 02/10/06,.,.,.,7,9,11,.,15,17,19,.,23,.,7,101, 14.43
159, 09/10/06,1,3,5,.,.,11,.,15,17,.,.,.,25,7,77, 11.00
160, 16/10/06,1,3,.,.,9,11,.,15,17,19,21,.,.,8,96, 12.00
161, 19/10/06,1,.,5,.,.,11,13,15,17,.,21,23,25,9,131, 14.56
162, 23/10/06,1,3,5,.,.,11,13,.,.,.,.,23,.,6,56, 9.33
163, 26/10/06,1,3,5,7,9,.,13,15,.,.,21,23,25,10,122, 12.20
164, 30/10/06,1,3,5,.,.,11,.,15,.,.,21,23,.,7,79, 11.29
165, 03/11/06,1,.,.,.,9,.,13,15,17,19,.,.,25,7,99, 14.14
166, 06/11/06,.,3,.,.,9,.,13,15,.,19,21,23,.,7,103, 14.71
167, 09/11/06,1,3,.,.,9,.,13,.,.,19,.,23,.,6,68, 11.33
168, 13/11/06,1,3,.,7,.,.,.,15,17,19,.,23,.,7,85, 12.14
169, 16/11/06,1,.,5,7,9,11,.,15,.,.,21,.,.,7,69, 9.86
170, 21/11/06,1,3,5,7,.,.,13,.,.,.,.,23,25,7,77, 11.00
171, 23/11/06,1,3,.,.,.,11,13,15,17,.,21,23,25,9,129, 14.33
172, 27/11/06,1,.,.,7,9,11,13,.,.,.,21,.,25,7,87, 12.43
173, 30/11/06,.,3,5,7,.,11,.,15,.,19,21,23,25,9,129, 14.33
174, 04/12/06,1,.,.,7,9,11,13,15,17,.,.,23,25,9,121, 13.44
175, 07/12/06,.,3,5,7,.,11,13,15,.,19,21,.,.,8,94, 11.75
176, 11/12/06,.,.,.,.,.,11,13,15,17,.,21,23,25,7,125, 17.86
177, 14/12/06,.,.,.,7,.,11,13,15,17,19,21,23,.,8,126, 15.75
178, 18/12/06,.,3,.,.,9,.,.,.,.,19,21,23,25,6,100, 16.67
179, 21/12/06,.,3,5,7,9,.,13,15,17,19,.,23,25,10,136, 13.60
180, 26/12/06,1,3,5,7,.,11,.,15,17,.,.,.,25,8,84, 10.50
181, 28/12/06,1,.,5,7,.,.,.,15,17,19,21,23,.,8,108, 13.50
182, 02/01/07,.,3,.,7,9,11,13,.,17,19,21,23,25,10,148, 14.80
183, 04/01/07,.,.,.,7,.,11,13,.,.,19,21,23,25,7,119, 17.00
184, 08/01/07,1,3,.,7,9,11,.,15,17,19,21,23,25,11,151, 13.73
185, 11/01/07,1,.,.,7,9,11,.,15,17,19,.,23,25,9,127, 14.11
186, 15/01/07,.,.,5,.,.,11,13,.,17,19,.,23,25,7,113, 16.14
187, 18/01/07,1,3,.,.,.,11,13,15,17,19,21,23,25,10,148, 14.80
188, 22/01/07,.,3,5,.,.,11,13,.,.,19,21,23,25,8,120, 15.00
189, 25/01/07,1,.,5,7,9,.,13,.,.,19,.,23,.,7,77, 11.00
190, 29/01/07,1,3,5,7,.,11,13,15,.,19,.,23,.,9,97, 10.78
191, 01/02/07,.,.,5,.,9,.,13,15,17,19,21,23,.,8,122, 15.25
192, 05/02/07,1,3,5,.,.,11,13,15,.,.,21,23,.,8,92, 11.50
193, 08/02/07,1,3,5,.,9,.,.,15,.,19,21,.,25,8,98, 12.25
194, 12/02/07,.,.,.,7,9,.,13,15,17,.,21,23,25,8,130, 16.25
195, 15/02/07,.,3,.,7,9,11,.,.,17,19,.,23,.,7,89, 12.71
196, 22/02/07,.,3,5,.,.,.,.,15,17,19,.,23,25,7,107, 15.29
197, 26/02/07,.,3,5,7,9,.,13,.,.,.,21,23,.,7,81, 11.57
198, 01/03/07,1,.,5,7,.,.,13,15,17,.,21,.,25,8,104, 13.00
199, 05/03/07,1,3,5,.,9,11,.,15,.,19,21,23,.,9,107, 11.89
200, 08/03/07,1,.,5,.,9,11,13,15,.,.,21,23,.,8,98, 12.25
201, 12/03/07,1,.,5,.,9,11,13,15,.,19,.,.,.,7,73, 10.43
202, 15/03/07,1,3,5,.,.,11,13,.,17,19,21,23,.,9,113, 12.56
203, 19/03/07,1,3,5,7,.,.,13,.,17,.,.,23,25,8,94, 11.75
204, 22/03/07,.,3,5,7,.,11,.,15,17,.,.,23,25,8,106, 13.25
205, 26/03/07,.,3,.,.,9,11,.,15,17,.,21,.,25,7,101, 14.43
206, 29/03/07,.,3,5,.,9,11,13,15,17,.,21,.,.,8,94, 11.75
207, 02/04/07,1,3,.,.,9,.,13,15,17,19,.,.,.,7,77, 11.00
208, 05/04/07,1,3,.,7,9,11,.,15,.,19,.,23,.,8,88, 11.00
209, 09/04/07,1,3,5,7,9,.,.,15,.,19,21,.,25,9,105, 11.67
210, 12/04/07,.,3,5,7,9,11,13,15,.,.,21,23,.,9,107, 11.89
211, 16/04/07,1,.,.,.,.,11,.,.,17,.,.,.,25,4,54, 13.50
212, 19/04/07,1,3,.,.,9,11,.,.,.,19,.,23,.,6,66, 11.00
213, 23/04/07,1,3,5,.,9,11,.,.,.,19,21,23,25,9,117, 13.00
214, 26/04/07,1,3,.,.,9,11,13,15,.,19,.,.,25,8,96, 12.00
215, 30/04/07,1,3,5,7,9,11,.,15,17,19,.,23,25,11,135, 12.27
216, 03/05/07,.,3,5,7,9,11,13,.,17,19,21,.,25,10,130, 13.00
217, 07/05/07,.,3,5,7,9,11,.,.,17,19,21,.,25,9,117, 13.00
218, 10/05/07,.,.,5,7,.,11,13,15,17,.,21,.,25,8,114, 14.25
219, 14/05/07,.,3,.,.,9,11,.,.,17,19,.,23,25,7,107, 15.29
220, 17/05/07,.,.,5,.,9,.,13,15,17,.,21,23,25,8,128, 16.00
221, 21/05/07,1,3,.,7,.,.,.,.,17,19,21,23,25,8,116, 14.50
222, 24/05/07,1,3,5,7,9,.,.,15,.,.,21,23,.,8,84, 10.50
223, 28/05/07,.,.,.,7,9,11,13,.,.,.,21,23,.,6,84, 14.00
224, 31/05/07,.,.,.,.,9,11,13,15,.,19,21,23,.,7,111, 15.86
225, 04/06/07,1,3,5,7,.,.,13,15,.,19,.,23,25,9,111, 12.33
226, 08/06/07,.,.,5,.,.,11,13,15,17,19,21,.,25,8,126, 15.75
227, 11/06/07,1,.,5,7,9,.,.,15,17,19,21,.,.,8,94, 11.75
228, 14/06/07,.,.,.,.,.,11,13,15,17,19,.,.,25,6,100, 16.67
229, 18/06/07,.,.,.,.,9,11,13,15,17,.,.,23,25,7,113, 16.14
230, 21/06/07,1,3,5,.,.,11,13,15,17,.,.,.,.,7,65, 9.29
231, 25/06/07,1,.,5,7,.,.,.,15,17,19,21,.,25,8,110, 13.75
