num,data,2,4,6,8,10,12,14,16,18,20,22,24,qtd,soma,media
1, 29/09/03,2,.,6,.,10,.,14,16,18,20,.,24,8,110, 13.75
2, 06/10/03,.,4,6,.,.,12,.,16,.,20,.,24,6,82, 13.67
3, 13/10/03,.,4,6,8,10,12,14,16,.,20,.,24,9,114, 12.67
4, 20/10/03,2,4,.,8,10,12,.,16,18,.,.,24,8,94, 11.75
5, 27/10/03,2,4,.,8,.,12,.,16,.,20,.,24,7,86, 12.29
6, 03/11/03,2,4,6,.,10,12,.,16,.,.,.,.,6,50, 8.33
7, 10/11/03,.,4,.,8,10,12,14,16,18,.,22,.,8,104, 13.00
8, 17/11/03,.,.,6,8,10,.,.,16,18,20,22,.,7,100, 14.29
9, 24/11/03,.,4,.,.,10,.,.,16,.,20,.,24,5,74, 14.80
10, 01/12/03,2,4,6,8,10,12,14,.,.,20,.,24,9,100, 11.11
11, 08/12/03,2,.,6,8,10,12,.,16,.,20,22,24,9,120, 13.33
12, 15/12/03,2,4,.,8,10,12,14,16,.,.,.,24,8,90, 11.25
13, 22/12/03,.,.,6,8,10,.,14,16,.,.,.,.,5,54, 10.80
14, 29/12/03,2,.,6,.,.,.,14,.,18,20,.,.,5,60, 12.00
15, 05/01/04,2,4,6,8,10,12,.,16,18,.,.,24,9,100, 11.11
16, 12/01/04,2,.,6,8,10,12,.,.,.,.,.,24,6,62, 10.33
17, 19/01/04,2,.,6,.,.,.,14,16,18,20,.,.,6,76, 12.67
18, 26/01/04,2,.,6,8,10,.,14,.,18,20,22,24,9,124, 13.78
19, 02/02/04,2,.,6,8,10,.,14,16,.,20,.,24,8,100, 12.50
20, 09/02/04,.,4,6,8,10,.,14,16,18,20,.,24,9,120, 13.33
21, 16/02/04,2,4,.,8,.,.,14,16,18,20,22,24,9,128, 14.22
22, 25/02/04,2,4,6,.,10,12,14,.,.,.,22,.,7,70, 10.00
23, 01/03/04,.,4,6,8,10,12,14,16,18,20,.,.,9,108, 12.00
24, 08/03/04,2,.,.,.,10,.,14,.,.,20,.,24,5,70, 14.00
25, 15/03/04,2,4,6,.,.,.,14,16,.,20,22,24,8,108, 13.50
26, 22/03/04,.,.,.,8,10,.,14,16,.,20,22,.,6,90, 15.00
27, 29/03/04,.,.,6,8,10,12,14,.,18,20,22,24,9,134, 14.89
28, 05/04/04,.,.,.,.,10,12,14,16,18,20,.,.,6,90, 15.00
29, 12/04/04,.,4,6,8,.,.,14,16,.,20,22,24,8,114, 14.25
30, 19/04/04,2,4,6,8,.,.,14,.,.,20,22,.,7,76, 10.86
31, 26/04/04,2,4,.,.,.,.,14,.,.,20,22,24,6,86, 14.33
32, 03/05/04,2,4,6,.,10,.,14,16,.,20,22,.,8,94, 11.75
33, 10/05/04,2,.,.,8,10,12,14,16,.,20,.,24,8,106, 13.25
34, 17/05/04,2,4,.,8,10,.,.,16,18,20,.,.,7,78, 11.14
35, 24/05/04,.,4,6,.,.,12,14,16,.,.,22,.,6,74, 12.33
36, 31/05/04,.,4,.,8,10,.,14,.,.,20,22,24,7,102, 14.57
37, 07/06/04,.,4,.,8,10,.,.,.,.,20,22,24,6,88, 14.67
38, 14/06/04,2,.,6,8,10,.,14,16,.,.,22,24,8,102, 12.75
39, 21/06/04,2,.,.,8,.,.,14,.,18,.,22,24,6,88, 14.67
40, 28/06/04,2,.,.,8,10,12,14,16,.,20,22,24,9,128, 14.22
41, 05/07/04,2,4,.,.,.,12,.,16,18,20,.,.,6,72, 12.00
42, 12/07/04,.,4,6,8,.,12,14,.,.,.,22,24,7,90, 12.86
43, 19/07/04,.,.,6,8,10,.,14,.,18,20,22,24,8,122, 15.25
44, 26/07/04,.,4,6,.,10,12,14,.,18,.,.,24,7,88, 12.57
45, 02/08/04,2,.,.,.,.,.,14,16,18,.,.,24,5,74, 14.80
46, 09/08/04,2,4,6,8,10,.,14,.,18,.,.,24,8,86, 10.75
47, 16/08/04,2,4,6,8,10,.,.,.,18,20,22,.,8,90, 11.25
48, 23/08/04,2,.,6,.,.,.,.,16,18,20,22,.,6,84, 14.00
49, 30/08/04,2,4,6,8,.,.,.,16,.,20,22,24,8,102, 12.75
50, 06/09/04,2,.,6,.,10,12,.,.,.,20,.,.,5,50, 10.00
51, 13/09/04,.,.,6,8,.,.,14,16,.,20,22,.,6,86, 14.33
52, 20/09/04,2,4,.,8,.,12,.,16,.,.,22,24,7,88, 12.57
53, 27/09/04,2,.,6,.,.,12,14,.,18,20,.,24,7,96, 13.71
54, 04/10/04,2,4,6,8,.,12,14,16,18,20,22,24,11,146, 13.27
55, 11/10/04,2,4,6,8,.,12,.,16,18,.,.,.,7,66, 9.43
56, 18/10/04,2,.,.,.,.,12,14,16,.,20,22,24,7,110, 15.71
57, 25/10/04,2,4,6,8,.,12,.,.,.,20,22,.,7,74, 10.57
58, 01/11/04,.,4,6,.,.,12,14,16,18,20,22,.,8,112, 14.00
59, 08/11/04,.,.,6,8,10,.,14,.,.,20,.,.,5,58, 11.60
60, 16/11/04,2,4,.,8,.,.,.,16,18,.,22,24,7,94, 13.43
61, 22/11/04,.,4,.,.,.,12,14,16,.,20,22,.,6,88, 14.67
62, 29/11/04,.,.,.,8,.,.,14,16,18,20,.,24,6,100, 16.67
63, 06/12/04,.,4,.,8,10,12,.,16,.,20,22,24,8,116, 14.50
64, 13/12/04,2,.,6,8,10,.,14,.,18,20,.,.,7,78, 11.14
65, 20/12/04,2,4,.,.,10,.,.,16,18,20,22,.,7,92, 13.14
66, 27/12/04,2,4,.,8,10,.,14,16,.,20,22,24,9,120, 13.33
67, 03/01/05,.,.,.,8,10,12,.,16,.,20,22,24,7,112, 16.00
68, 10/01/05,2,.,6,8,10,12,.,16,.,.,22,.,7,76, 10.86
69, 17/01/05,.,4,.,8,10,.,.,.,18,20,.,24,6,84, 14.00
70, 24/01/05,2,.,6,.,10,12,14,16,.,20,.,24,8,104, 13.00
71, 31/01/05,.,.,6,8,.,.,14,16,18,.,22,.,6,84, 14.00
72, 09/02/05,2,.,.,8,.,12,.,16,18,.,.,24,6,80, 13.33
73, 14/02/05,2,.,.,.,10,.,14,16,18,.,.,.,5,60, 12.00
74, 21/02/05,2,4,6,8,.,.,.,16,18,.,22,.,7,76, 10.86
75, 28/02/05,.,4,6,8,10,.,.,16,.,20,.,.,6,64, 10.67
76, 07/03/05,.,.,.,8,10,12,.,16,.,.,.,.,4,46, 11.50
77, 14/03/05,2,4,6,8,.,.,14,.,18,20,22,24,9,118, 13.11
78, 21/03/05,2,.,6,8,.,12,.,16,18,20,.,.,7,82, 11.71
79, 28/03/05,2,.,.,.,.,12,14,.,18,20,22,24,7,112, 16.00
80, 04/04/05,2,4,.,.,10,.,14,.,18,20,22,.,7,90, 12.86
81, 11/04/05,2,4,6,.,10,.,.,16,.,.,.,.,5,38, 7.60
82, 18/04/05,.,4,6,8,.,12,.,.,18,20,22,.,7,90, 12.86
83, 25/04/05,2,.,6,8,10,12,14,.,.,20,.,24,8,96, 12.00
84, 02/05/05,2,4,6,8,.,12,.,16,.,20,22,24,9,114, 12.67
85, 09/05/05,2,.,.,8,.,.,14,16,18,.,22,.,6,80, 13.33
86, 16/05/05,2,4,6,8,.,12,14,.,18,.,.,24,8,88, 11.00
87, 23/05/05,2,.,.,8,10,.,.,.,18,20,22,24,7,104, 14.86
88, 30/05/05,2,4,.,8,10,12,14,.,18,.,.,24,8,92, 11.50
89, 06/06/05,.,.,6,.,.,12,.,16,.,20,22,24,6,100, 16.67
90, 13/06/05,2,.,.,8,10,12,.,.,.,20,22,24,7,98, 14.00
91, 20/06/05,.,4,.,.,10,12,14,16,.,20,22,.,7,98, 14.00
92, 27/06/05,2,4,6,8,.,12,14,.,18,.,22,24,9,110, 12.22
93, 04/07/05,2,4,6,.,10,.,.,.,18,20,.,24,7,84, 12.00
94, 11/07/05,2,4,.,8,.,12,.,16,18,.,22,24,8,106, 13.25
95, 18/07/05,2,4,.,.,10,12,14,.,18,20,22,.,8,102, 12.75
96, 25/07/05,.,4,6,.,10,12,14,16,18,.,22,24,9,126, 14.00
97, 02/08/05,.,4,6,.,10,12,14,.,.,20,22,24,8,112, 14.00
